day,new features,edits
2016-06-05 00:00:00+05:45,0,2
2013-07-13 00:00:00+05:45,0,1
2014-02-08 00:00:00+05:45,895,133
2013-01-23 00:00:00+05:45,52,36
2013-08-23 00:00:00+05:45,7763,656
2013-04-29 00:00:00+05:45,1363,494
2011-06-09 00:00:00+05:45,541,19
2009-08-16 00:00:00+05:45,0,2
2012-12-25 00:00:00+05:45,1304,47
2009-03-18 00:00:00+05:45,12,84
2014-08-05 00:00:00+05:45,268,235
2014-02-11 00:00:00+05:45,234,26
2016-10-10 00:00:00+05:45,0,1
2016-09-16 00:00:00+05:45,0,1
2013-04-09 00:00:00+05:45,10138,748
2012-05-23 00:00:00+05:45,26,6
2016-04-20 00:00:00+05:45,0,14
2011-08-04 00:00:00+05:45,106,0
2016-07-05 00:00:00+05:45,0,1
2011-03-18 00:00:00+05:45,0,2
2014-10-24 00:00:00+05:45,1310,19
2016-05-29 00:00:00+05:45,0,1
2013-08-20 00:00:00+05:45,9787,1761
2013-06-24 00:00:00+05:45,452,668
2012-11-23 00:00:00+05:45,1350,100
2014-01-13 00:00:00+05:45,41,122
2011-03-08 00:00:00+05:45,3,6
2013-02-01 00:00:00+05:45,4512,238
2014-10-10 00:00:00+05:45,5914,849
2011-05-10 00:00:00+05:45,695,902
2014-09-08 00:00:00+05:45,9987,1766
2012-07-06 00:00:00+05:45,2,9
2012-03-31 00:00:00+05:45,53,51
2013-07-01 00:00:00+05:45,384,1134
2012-04-19 00:00:00+05:45,0,1
2015-03-13 00:00:00+05:45,0,164
2012-05-18 00:00:00+05:45,165,13
2014-11-15 00:00:00+05:45,646,3626
2013-08-07 00:00:00+05:45,3648,488
2011-05-20 00:00:00+05:45,350,195
2014-01-04 00:00:00+05:45,90,46
2015-10-17 00:00:00+05:45,0,27
2014-03-31 00:00:00+05:45,2978,310
2014-08-14 00:00:00+05:45,4294,486
2012-12-05 00:00:00+05:45,1246,738
2010-03-10 00:00:00+05:45,0,2
2016-06-30 00:00:00+05:45,0,137
2008-11-09 00:00:00+05:45,2592,24
2012-11-03 00:00:00+05:45,217,221
2014-09-29 00:00:00+05:45,3598,1527
2016-06-10 00:00:00+05:45,0,2
2014-01-16 00:00:00+05:45,11647,443
2014-06-25 00:00:00+05:45,1779,113
2014-04-10 00:00:00+05:45,869,28
2014-07-23 00:00:00+05:45,98,12
2013-02-15 00:00:00+05:45,2258,355
2011-08-12 00:00:00+05:45,4247,129
2010-05-04 00:00:00+05:45,0,5
2009-11-11 00:00:00+05:45,2,3
2010-06-19 00:00:00+05:45,2,0
2011-10-02 00:00:00+05:45,0,1
2015-01-17 00:00:00+05:45,0,4
2010-09-19 00:00:00+05:45,0,3
2008-10-23 00:00:00+05:45,1,1
2009-08-15 00:00:00+05:45,0,2
2013-07-10 00:00:00+05:45,278,417
2013-02-27 00:00:00+05:45,6122,950
2012-08-04 00:00:00+05:45,25,3
2008-12-13 00:00:00+05:45,0,30
2012-02-03 00:00:00+05:45,5,164
2009-06-06 00:00:00+05:45,3,4
2015-04-21 00:00:00+05:45,0,2
2016-02-23 00:00:00+05:45,0,1
2015-03-27 00:00:00+05:45,0,567
2012-06-30 00:00:00+05:45,350,104
2010-06-05 00:00:00+05:45,3347,1861
2014-05-19 00:00:00+05:45,1947,364
2016-08-08 00:00:00+05:45,0,1
2010-03-27 00:00:00+05:45,6,2
2012-11-10 00:00:00+05:45,631,248
2012-09-11 00:00:00+05:45,3497,2035
2012-05-04 00:00:00+05:45,0,1
2013-09-08 00:00:00+05:45,1088,575
2016-05-05 00:00:00+05:45,0,1
2014-06-08 00:00:00+05:45,9233,232
2012-03-10 00:00:00+05:45,0,1
2013-03-04 00:00:00+05:45,12360,922
2014-12-04 00:00:00+05:45,200,145
2010-04-23 00:00:00+05:45,1787,103
2012-03-13 00:00:00+05:45,0,2
2009-11-16 00:00:00+05:45,3,3
2011-01-10 00:00:00+05:45,3,15
2013-08-24 00:00:00+05:45,3580,174
2011-08-10 00:00:00+05:45,79,10
2016-06-15 00:00:00+05:45,0,2
2012-08-02 00:00:00+05:45,59,101
2013-03-05 00:00:00+05:45,9809,518
2009-02-02 00:00:00+05:45,0,2
2012-10-04 00:00:00+05:45,1120,883
2011-03-01 00:00:00+05:45,128,20
2016-06-21 00:00:00+05:45,0,4
2013-12-27 00:00:00+05:45,926,159
2014-01-27 00:00:00+05:45,1351,233
2014-07-22 00:00:00+05:45,137,33
2009-02-22 00:00:00+05:45,0,2
2011-09-20 00:00:00+05:45,1141,44241
2011-11-02 00:00:00+05:45,389,442
2009-03-30 00:00:00+05:45,0,7
2010-12-05 00:00:00+05:45,0,1
