Date,New Features,Edits
8/15/2013,4425,1977
8/16/2013,2613,489
8/17/2013,33,3
8/18/2013,3934,84
8/19/2013,8520,107
8/20/2013,10503,296
8/21/2013,624,15
8/22/2013,7291,652
8/23/2013,6812,307
8/24/2013,3336,161
8/25/2013,6172,217
8/26/2013,5549,304
8/27/2013,4278,341
8/28/2013,5261,271
8/29/2013,7312,243
8/30/2013,7937,172
8/31/2013,5156,147
9/1/2013,4804,923
9/2/2013,4260,229
9/3/2013,3904,303
9/4/2013,4327,269
9/5/2013,4558,171
9/6/2013,3718,166
9/7/2013,9801,422
9/8/2013,921,412
9/9/2013,3489,1259
9/10/2013,3719,885
9/11/2013,4972,1318
9/12/2013,11551,2130
9/13/2013,685,89
9/14/2013,695,159
9/15/2013,3801,2426
9/16/2013,3246,2682
9/17/2013,3371,618
9/18/2013,3647,1460
9/19/2013,4621,819
9/20/2013,585,276
9/21/2013,407,272
9/22/2013,1556,881
9/23/2013,3978,1298
9/24/2013,678,718
9/25/2013,360,404
9/26/2013,968,281
9/27/2013,707,511
9/28/2013,1573,98
9/29/2013,1848,335
9/30/2013,8243,1763
10/1/2013,7779,1062
10/2/2013,9693,1531
10/3/2013,5872,797
10/4/2013,12083,348
10/5/2013,534,77
10/6/2013,204,174
10/7/2013,176,117
10/8/2013,358,390
10/9/2013,157,181
10/10/2013,309,603
10/12/2013,1071,297
10/13/2013,2220,289
10/14/2013,856,100
10/15/2013,628,170
10/16/2013,1903,28
10/17/2013,272,65
10/18/2013,13,42
10/19/2013,0,1
10/20/2013,209,127
10/21/2013,245,200
10/22/2013,43,9
10/23/2013,295,144
10/24/2013,3258,248
10/25/2013,4031,626
10/26/2013,3958,2676
10/27/2013,474,336
10/28/2013,859,384
10/29/2013,3160,59
10/30/2013,2335,112
10/31/2013,3900,1458
11/1/2013,36172,3312
11/2/2013,20729,1476
11/3/2013,1159,401
11/4/2013,1132,115
11/5/2013,4867,879
11/6/2013,10715,1637
11/7/2013,12318,1176
11/8/2013,19190,1224
11/9/2013,3298,205
11/10/2013,3211,1485
11/11/2013,2736,983
11/12/2013,3264,627
11/13/2013,31,47
11/14/2013,1294,1254
11/15/2013,92,20
11/16/2013,78,1
11/17/2013,610,88
11/18/2013,1115,35
11/19/2013,2042,396
11/20/2013,3425,285
11/21/2013,350,239
11/22/2013,285,34
11/23/2013,22,12
11/24/2013,2296,154
11/25/2013,4133,473
11/26/2013,564,210
11/27/2013,3497,228
11/28/2013,17,30
11/29/2013,1654,125
11/30/2013,40,1
12/1/2013,788,138
12/2/2013,4017,536
12/3/2013,3129,412
12/4/2013,1733,142
12/5/2013,2770,285
12/6/2013,5365,15
12/8/2013,1492,123
12/9/2013,3863,251
12/10/2013,5,0
12/11/2013,0,1
12/12/2013,299,37
12/13/2013,347,205
12/14/2013,34,9
12/15/2013,504,4
12/16/2013,667,490
12/17/2013,12,4
12/18/2013,663,104
12/19/2013,3275,1603
12/20/2013,1770,116
12/21/2013,1458,488
12/22/2013,2816,123
12/23/2013,219,72
12/24/2013,66,205
12/25/2013,190,22
12/26/2013,471,13
12/27/2013,572,38
12/28/2013,747,7
12/29/2013,139,484
12/30/2013,49,16
12/31/2013,34,4
1/1/2014,42,1
1/2/2014,3087,18
1/3/2014,739,2
1/4/2014,72,46
1/5/2014,141,64
1/6/2014,1680,137
1/7/2014,39,22
1/8/2014,22,15
1/9/2014,6965,79
1/10/2014,21,2
1/11/2014,8,0
1/12/2014,59,31
1/13/2014,39,46
1/14/2014,1377,115
1/15/2014,5524,178
1/16/2014,7050,209
1/17/2014,5352,84
1/18/2014,4892,83
1/19/2014,4411,77
1/20/2014,4735,182
1/21/2014,4747,206
1/22/2014,5440,113
1/23/2014,1285,46
1/24/2014,200,19
1/25/2014,61,4
1/26/2014,2608,186
1/27/2014,435,87
1/28/2014,4655,170
1/29/2014,6945,126
1/30/2014,6847,129
1/31/2014,2085,47
2/1/2014,65,9
2/2/2014,1613,165
2/3/2014,3828,122
2/4/2014,1485,375
2/5/2014,1950,357
2/6/2014,1306,393
2/7/2014,4,6
2/8/2014,777,95
2/9/2014,1244,48
2/10/2014,471,82
2/11/2014,226,6
2/12/2014,2181,15
2/13/2014,297,17
2/14/2014,17,2
2/16/2014,10,7
2/17/2014,11,6
2/18/2014,770,14
2/19/2014,595,130
